"","tweets"
"36","Global Companies has joined the Climate Pledge in 2020. They are namely Verizon, Infosys, and Reckitt Benckiser the owner of brands like Dettol and Vanish. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/HWbkqltENN"
"37","Climate change is bad for your health Important new @GrattanInst report at the start of the Australian summer//t.co/RAxUDhzTFk #auspol #GlobalWarming"
"38","The deadly truth about climate change. From @TheLancet //t.co/PpkV4RWd5U #auspol #GlobalWarming #science"
"39","How looks #GlobalWarming and #ClimateChange ? Simple as #Moscow #Russia middle December without #snow and #ice on river, when even #skating on Red Square near Kremlin on artificial ice ! +1C to -3C all December 2020//t.co/Mju3oAhoSK"
"40","We are losing trees at a great rate but you can make a difference! Just visit out YouTube channel and watch one of our videos to help us plant more trees. //t.co/GYgceFHyH1 #reforestation #GlobalAction #Wildlife #Bubblytree #Teamtree #Vegan #Globalwarming//t.co/tgIMXZPcUh"
"41","2020 SkS Weekly #ClimateChange & #GlobalWarming News Roundup #49 humanity faces climate 'suicide' without US rejoining Paris agreement Biden's pledge of net zero' emissions by 2050 brings Paris agreement goals within reach'//t.co/81tqZzCzob"
"42","The usual look at SSTs anomalies 3.12.2020 Always the warmth in Kara and Barents sea & near many arctic regions I don't like the warm water along #antarctica ice sheet ...we know it's how it penetrates under the ice #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/6VVSSceDIg"
"43","The usual look at SSTs anomalies 1.12.2020 Always the warmth in Kara and Barents sea & near many arctic regions I don't like the warm water along #antarctica ice sheet ...we know it penetrates under the ice #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/vNBnMSs6MU"
"44","How will the ""slow slope"" "" we are transitioning"" be next week? End in sight for russian arctic ? maybe D+7 forecast 13.12.2020 We clearly defeated the #climatecrisis, simply doing nothing #climatechange #GlobalWarming #GretaThunberg//t.co/z1QqjyvwxI"
"45","#Copernicus update on #methane in the #arctic 04.12.2020 No methane visible, almost on surface levels Black spots back at 500 hPa #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/G3h0RSlh8A"
"46","#methane and #CO2 emissions 03.12.2020 Surface and 500 hPa #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg #ClimateBreakdown//t.co/xg9GQDEWFH"
"47","A quick look at Europe 03 .11.2020 #methane emissions / concentrations Several days in a row...(10th day, approx) #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/08nnaJDaqr"
"48","#methane and #CO2 emissions 04.12.2020 Surface and 500 hPa #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg #ClimateBreakdown//t.co/NjoVpFlg3z"
"49","Methane in Alaska It's a slow slope We are transitioning We are in control Methane is food for plant It's the sun Magnetic field probably #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/zAs3UVw82w"
"50","Warmest daily temperatures 45.1 Australia 40 Mali Senegal Ghana Mexico 39 Togo 38 Burkina Faso Niger #Russia coldest -51.2C (6th day) #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/1TLqboy3ID"
"51","Warmest daily temperatures 44.2 Australia 41 Senegal 40 Mali 39 Burkina Faso Ghana 38 Niger Togo #Russia coldest -46.6C (5th day) #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/iRQOfMH1ZD"
"52","How will the ""slow slope"" "" we are transitioning"" be next week? End in sight for russian arctic ? heatwave seems to stall, finally D+7 forecast 12.12.2020 We clearly defeated the #climatecrisis, simply doing nothing #climatechange #GlobalWarming #GretaThunberg//t.co/PjRugRDIKl"
"53","How will the ""slow slope"" "" we are transitioning"" be next week? End in sight for russian arctic ? heatwave seems to stall, but not by much D+7 forecast 11.12.2020 We clearly defeated the #climatecrisis, simply doing nothing #climatechange #GlobalWarming #GretaThunberg//t.co/pNpO9eHQVi"
"54","#Copernicus update on #methane in the #arctic 03.12.2020 No methane visible, almost Again (More than 11 days like that) #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/mFjZ0MHSXD"
"55","The usual look at SSTs anomalies 2.12.2020 Always the warmth in Kara and Barents sea & near many arctic regions I don't like the warm water along #antarctica ice sheet ...we know it's how it penetrates under the ice #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/dVg0TbOxQr"
"56","Warmest daily temperatures 48.7 Australia 41 Senegal Mali 40 Ghana 39 Togo Gambia Burkina Faso Niger #Russia coldest -50.9C (6th day) #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/ECfnhJKxsa"
"57","#Copernicus update on #methane in the #arctic 05.12.2020 No methane visible, almost on surface levels More black spots back at 500 hPa #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/wYhc1TlpFF"
"58","Methane in China It's a slow slope We are transitioning We are in control Methane is food for plant It's the sun Magnetic field probably #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/fvGVkeVymi"
"59","#methane and #CO2 emissions 05.12.2020 Surface and 500 hPa #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg #ClimateBreakdown//t.co/ZzhupPmi1B"
"60","#GlobalWarming//t.co/phgomXKmlV"
"61","In den Marschall Inseln ist Atom Mll von der USA welche wegen denn steigender Wasserspiegel im Meer gesplt werden #GlobalWarming #dangerous #Klimawandel #Klimakrise"
"62","Analysis: When might the world exceed 1.5C and 2C of #globalwarming?//t.co/OWJv0m0g9b"
"63","How Do #ClimateModels #Predict #GlobalWarming? Climate models use #complexequations, mountains of #data and #supercomputers to help us understand global warming and #future changes on #planetEarth. //t.co/uTVsPueGLy"
"64","A 50-Year-Old #GlobalWarming Forecast That Still Holds Up//t.co/uYK1ZGdrrE"
"65","Above the clouds by Barbara Zanon, 2015 Flying above the clouds in Europe , looking for #pollution#environment #nature #climatechange #savetheplanet #gogreen #sustainable #green #environmentallyfriendly #sustainableliving #globalwarming #photography #climate #naturephotography//t.co/Bg09rkHWl2"
"66","SteamDrills -The carbon emissions coming out of #coal are gonna spike #globalwarming up high enough to kill us all #5Star"
"67","It's not every day that you run across an idea so elegant, so eminently practical that your jaw literally drops as you stagger beneath the shock.~ by RiveraSunAuthor via NatCounterPunch//t.co/R2CIQYf9Qe #Climate #GlobalWarming//t.co/IDPqk5AZVL"
"68","""GRETA THUNBERG"" 2020 Llapis sobre paper, 40 x 19cm ADOLF -//t.co/5qa0oxiJBD #llapis #retrat #portrait #GretaThunberg @GretaThunberg #mediambient #GlobalWarming #environnement #pencil #lpiz #dibuix #dibujo #drawing//t.co/7Yo7b1zYJJ"
"69","Det hr r framtiden fr alla lga kustomrden. #sealevelrise #louisiana #GlobalWarming //t.co/gxuo2ZYP5e"
"70","Hey liberal's nothing annoys you more than me. ILL ALL WAYS BE IN YOUR HEAD #Annoyaliberal #MAGA #LiberalLogic #LiberalismIsAMentalDisorder #LiberalHypocrisy #FreedomOfSpeech #ClimateChangeIsReal #GlobalWarming #Freedom #StopTheSteaI #DemocratsCheated #DemocratsAreCorrupt//t.co/J1hOcvPOMY"
"71","#Annoyaliberal #MAGA #LiberalLogic #LiberalismIsAMentalDisease #LiberalHypocrisy #ClimateChangeIsReal #GlobalWarming #Freedom #DemocratsCheated The definition of Compassion: Liberal=Grab money from others to support your own feelings Normal=Work and support yourself"
"72","December ... lol Nvr thought we d get spring in december Well done world. Someday we ll be using AC in december. #GlobalWarming//t.co/ti9S3XV78e"
"73","Il #cemento low-carbon per combattere il #climatechange Per limitare il #globalwarming la transizione energetica deve investire anche la filiera del cemento, un settore dall'enorme impronta ecologica. Ma che offre gi oggi soluzioni sostenibili //t.co/QpRQnxvqNU//t.co/l4OkvA59zi"
"74","We are all going to die soon #GlobalWarming"
"75","This solar-powered mobile #hospital is saving injured koalas. @wef @MikeHudema @mvollmer1 @kuriharan @arikring @Victoryabro @Dahl_Consult @LavaletteAstrid @baski_LA @RagusoSergio @postoff25 @smaksked @sulefati7 #ClimateAction #climate #GlobalWarming//t.co/57BPLRFIhA"
"76","Innovations that could save the planet. Read more here://t.co/afW7BwdYWM #sundayvibes #innovation #ClimateAction #climatechange #ClimateCrisis #GlobalWarming"
"77","How are we battling #ClimateChange? Read://t.co/hOi9t546in #WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #Shramdaan #Afforestation #ClimateAction #WMTCBlog//t.co/v1ubsPK1Dk"
"78","Rainfall deficit? Plant trees! Read://t.co/RPzz01vJhJ #WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #ClimateChange #Shramdaan #Afforestation #ClimateAction #WMTCBlog//t.co/eicjR6fy7M"
"79","Trees are our best friends!//t.co/hcN1qG0GY4 #WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #ClimateChange #Shramdaan #Afforestation #ClimateAction #WMTCBlog//t.co/CZsrLHhL30"
"80","Plant a tree, plant a life!//t.co/5Ua6aFbjRw #WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #ClimateChange #Shramdaan #Afforestation #ClimateAction #WMTCBlog//t.co/t8prHIu72L"
"81","Our own set of #Avengers Read://t.co/ubyJ8nLnxJ #WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #Shramdaan #Afforestation #ClimateChange #ClimateAction #WMTCBlog//t.co/Kr2gUs5IY5"
"82","Every socialist crusade has an invisible villain that can never be vanquished completely. Who's war must include self sacrifice, obedience and surrender of liberty and money. The hero, centralized all powerful government #GlobalWarming #ClimateCrisis #COVID19"
"83","Salil Jamdar - AUKAAT MEIN [Official Lockdown Video]//t.co/iwr25ZCrZ2 via @YouTube #naturelovers #GlobalWarming"
"84","#GlobalWarming @GretaThunberg @WWFitalia @Greenpeace_ITA @SkyTG24 @TgLa7 @CoffeeBreakLa7 @OmnibusLa7 @MediasetTgcom24 @RaiTre @Agenzia_Ansa @Tg3web @RaiUno @Corriere @repubblica @fattoquotidiano @LaStampa @espressonline//t.co/EBybpLsIau"
"85","#GlobalWarming @GretaThunberg @WWFitalia @Greenpeace_ITA @SkyTG24 @TgLa7 @CoffeeBreakLa7 @OmnibusLa7 @MediasetTgcom24 @RaiTre @Agenzia_Ansa @Tg3web @RaiUno @Corriere @repubblica @fattoquotidiano @LaStampa @espressonline//t.co/5GYNJrZVLj via @attivitasolare"
"86","//t.co/4GujLZ2l8Z #This is really interesting #environment #Ecosystem #carbon #carbonfootprint #world #GlobalWarming"
"87","I can't get into Christmas songs this year because I feel foolish listening to them and not being freezing outside and by freezing I mean 70 degrees. Im from LA. #GlobalWarming"
"88","How is climate change affecting trees and autumn colours? #climatechange #ClimateAction #climate #ClimateCrisis #ClimateEmergency #GlobalWarming //t.co/dGml63VCan via @wef"
"89","The most POWERFUL technology for removing CARBON from the atmosphere --&gt; Tropical Rainforest. PITY that fighting deforestation isn't as sexy (or lucrative) as fighting #climatechange or #globalwarming. Or is it just other countries' problem?//t.co/WMxvG22NHc"
"90","In India we plant trees and raise mosquitoes. #trees #GlobalWarming #mosquito"
"91","It's cold... #GlobalWarming, please!"
"92","Bitter truth . . . . Everyone wants to park their vehicle in shadow....... But . . . . . . . Nobody wants to plant a tree........ # GoGreen # GoAlive #SaveEarth #GlobalWarming"
"93","""MOTHER GAIA"" from album COMING HOME by East Meets West//t.co/uRYMC0SXdD ALL WILL EVENTUALLY FADE LIVING CREATURES WILL GO AWAY OCEANS TURN TO DESERTS DESPITE MAN'S LAST EFFORTS #ProgRock #ProgressiveRock #GlobalWarming"
"94","""Mother Gaia"" from album COMING HOME by East Meets West//t.co/uRYMC0SXdD ALL WILL EVENTUALLY FADE LIVING CREATURES WILL GO AWAY OCEANS TURN TO DESERTS DESPITE MAN'S LAST EFFORTS #ProgRock #ProgressiveRock #GlobalWarming"
"95","Climate Change Is Here We Are Living Pyrocene Era Button://t.co/pCDhe8MDQn #climatechange #weareliving #pyroceneera #forestfire #fire #globalwarming #climatology #climatologist #geek #saying #earthscience #earthscientist #environmentalist #environment"
"96","Humanity is beyond the point of no return when it comes to #GlobalWarming. The loss of continental ice is rising the sea levels, something that threatens half of the humans. But the finish of the Arctic could give us other surprises. #ClimateAction @antonioguterres @wef//t.co/QF7yDdpwIw"
"97","Reduce #carbon footprint through use of renewable building materials. #wood #masstimber #carbonfootprint #environment #globalwarming//t.co/MFE9XCzyPY"
"98","In this latest @Allstate Island ad, the bearded dude drives his car 1.1 miles. So cool/not cool. It's a 15 minutes bike ride. #GlobalWarming is real.//t.co/QmKyE8hwDZ"
"99","Climate Change: Warming Planet, Vanishing Lives - A sbort docu on #climatechange. Link -//t.co/xpQATiEBHR #globalwarming #ClimateChangeIsReal"
"100","20 days till Christmas and there isn't snow in Minnesota! Global warming is killing me... #globalwarming #climatechange"
"101","To reduce the impact of #GlobalWarming whole world is working towards a zero CO2 emission by year 2050. To achieve that, #GreenHydrogen is a possible alternative for #fossilfuels In this blog post I'm talking about why and how is that. #ClimateAction//t.co/8euWECgQih"
"102","The only thing disappearing faster than the Amazon rainforest is Usman's hairline. #UFCVegas16 #GlobalWarming//t.co/0xiLF1yvWD"
"103","That Murdered Tree in #NYCs @rockcenternyc Could Have Lived too Fight #GlobalWarming, That Would Have Been a More Sensible Use Than a Christmas Tree! It's TimeForAnArtificialChristmasTreeForRockefellerCenter NYC @rockcenternyc @NYCMayor @NYGovCuomo MakeCutChristmasTrees Illegal"
"104","That Murdered Tree in #NYCs @rockcenternyc Could Have Lived too Fight #GlobalWarming, That Would Have Been a More Sensible Use Than a Christmas Tree! It's Time For An Artificial Christmas Tree For Rockefeller Center NYC @rockcenternyc @NYCMayor"
"105","Save trees #savetrees #environment #onlyplanettolive #zerowaste #GlobalWarming #climatechange #ClimateAction #ClimateCrisis #ClimateChangeIsReal #ClimateTwitter #ClimateEmergency #ClimateDialogues #ClimateActionNow #ClimatePledge #climatechanges #climate #TwitterNatureCommunity//t.co/10u18RFLWe"
"106","cagado de frio un 5 de Diciembre... #GlobalWarming"
"107","Ow boy ... 10am, and it's already 38C ... and it isn't even fully summer yet ... it's going to be a hot one #HeatWave - look after yourselves everyone, and think about our #wildlife . And tell our elected officials we care about action to tackle #GlobalWarming #ClimateChange//t.co/gProbmXnaP"
"108","You can make a difference when you help Health in Harmony replant global rain forests, fight #globalwarming, and protect endangered wildlife.//t.co/KCVTmoxCYW//t.co/2djVFkEp3P"
"109","Two reports detail how failure to reduce #fossilfuel use + curb emissions are driving catastrophic #GlobalWarming. @ClimateNexus #ClimateCrisis #TheDefender//t.co/48Jl96xGc7"
"110","The truth about the nuisance called humanity #GeorgeCarlin on #GlobalWarming and #viruses//t.co/JiWZEkPHDw"
"111","Despite d fact that #globalwarming is an issue that has seen an increase in exposure and media times,it is still an issue that many individuals are unfamiliar with. Do you know about globalwarming?If not, you will want to continue reading on#ClimateAction //t.co/kH2lJr17iH"
"112","The climate crisis makes people ill - four proposals towards a healthy future //t.co/9qaTkYAIqq @PIK_Climate @BAEKaktuell @ChariteBerlin @KlimaGesundheit @HelmholtzMunich #ClimateImpactResearch #ClimateChange #GlobalWarming"
"113","BREAKING: Amundi speaks out against @TheOfficialSBI considering a A$1bn loan for Adani #coal. @CreditSuisse will you do the same & ask SBI to rule out funding Adani's mine which will turbo-charge #GlobalWarming? #StopAdani"
"114","Global Warming isn't just about energy. A good chunk of CO2 emissions come from the agricultural sector. Ending the animal holocaust will thus be vital to eliminating global warming. #globalwarming #vegan"
"115","It's that time of the year where it should be snowing #globalwarming"
"116","#roses #blooming in #december in #chicago. #climatechangeisreal #globalwarming #xmas The lord will deliver us from these dark times. #holidayanyway @ The Austin District, Chicago//t.co/qQpLQLMkB8"
"117","We need global cooperation more than ever. Not #nationalism, #religion, exclusive #culture. #ClimateChange #COVID19 #pandemics #globalwarming #populationgrowth"
"118","Pennsylvania governor Tom Wolf is using blatantly false information as justification for the imposing the economically crippling Regional Greenhouse Gas Initiative on the Commonwealth's citizens. //t.co/MdaIfyHfpW # #climatechange #globalwarming #climatecrisis"
"119","I learned how much I don't know about meat vs. vegan lifestyle choices from this article. It is highly recommended. //t.co/EA196vHOAv #climatechange #environment #globalwarming"
"120","We should not legitimatize transpolar arctic trade routes! Businesses can afford to wait on their shipments, but earth can't afford to lose any more of it's ice sheets #climatechange #ClimateCrisis #ClimateAction #GlobalWarming #cryosphere #Arctic //t.co/tHUUXgZga5"
"121","""Earth's average albedo is about 0.3. In other words, about 30 percent of incoming solar radiation is reflected back into space and 70 percent is absorbed."" (NASA) Which do you think absorbs most of the solar radiation in Arctic? #ClimateAction #GlobalWarming #cryosphere #Arctic"
"122","Which Collect most snow to #PreserveTheIce in Arctic? #ClimateAction #GlobalWarming #StopTSR #IcePyramids"
"123","#climatechange #ClimateCrisis #ClimateAction #GlobalWarming #cryosphere #Arctic #ClimateTwitter #ClimateChangeIsReal #PreserveTheIce #IceReinforcement #IcePyramids//t.co/BXhwbSLlmF"
"124","Where did it all go wrong? Now, wouldn't it be great if all the government's free car parking was removed from the grounds of Leinster House and then landscaped to match the original layout, and especially so in these #GlobalWarming and #COVID19 times? #Dublin #Ireland #History//t.co/7KKGx9LMQ8"
"125","Call Off War on Nature', Guterres Urges, as WMO Puts Global Warming at 1.2C//t.co/mFD14IaajX #GlobalWarming"
"126","Krijg nou hoorntjes, een staart en gespleten hoeven! Nu hebben we mogelijk een tekort aan #droogijs. Maar dat is in feite #CO2 in vaste toestand. Een tekort aan CO2, wie had dit een jaar geleden kunnen voorspellen? #GlobalWarming #vaccin #Pfizer //t.co/LubGr4VUX5"
"127","Ever wondered why it's the same people who cry about the rain forest (earths lungs) being destroyed, Are the same people who cry about Co2 (the forests oxygen) killing the planet??? #climatechange #Globalwarming #lostkingdoms"
"128","$INQD CEO @lesliebocskor discussing the massive potential with hemp plastic and how it can be vital for carbon sequestration. @EPA #carboncapture #GlobalWarming//t.co/32IK2p8TEk"
"129","We have reached a #globalwarming level where only a govt-driven worldwide mass mobilization can save us in time! It is too late for individual actions alone to achieve critical fossil fuel reductions needed to save us from catastrophe & mass extinction.//t.co/zadIuXUtWk"
"130","Congratulations to Joe #Biden, President-Elect of the USA - The Biden-Harris language of combating and battling #globalwarming is exactly right. It will take World War-like national and international mobilization. //t.co/XRzPrhKjHb via @JobOneForHuman1"
"131","9 Key Facts the World's Largest Environmental Groups are Hiding about Climate Change!//t.co/RHUKjFn2CB via @JobOneForHuman1 | #GlobalWarming #Climageddon"
"132","Is China a #Climate Solutions Leader or a Climate and Oceans Disruption Leader?//t.co/7NqdvPsjJx via @JobOneForHuman1 | #Climageddon #globalwarming"
"133","Congratulations to Joe #Biden, President-Elect of the USA - The Biden-Harris language of combating and battling #globalwarming is exactly right. It will take World War-like national and international mobilization. //t.co/XRzPri1UyJ via @JobOneForHuman1"
"134","A Fun 4 min Video Inspiring Improvement on Global Challenges Including #GlobalWarming !//t.co/1VIwWk9hjG via @JobOneForHuman1 | #Cimageddon #Climate"
"135","Congratulations to Joe #Biden, President-Elect of the USA - The Biden-Harris language of combating and battling #globalwarming is exactly right. It will take World War-like national and international mobilization. //t.co/Yq2Cg5hx1x via @JobOneForHuman1"
"136","We have reached a #globalwarming level where only a govt-driven worldwide mass mobilization can save us in time! It is too late for individual actions alone to achieve critical fossil fuel reductions needed to save us from catastrophe & mass extinction.//t.co/4Wl1svCtW5"
"137","Our governments were not prepared for COVID-19 & they are even more unprepared for #globalwarming emergency. Our govts have ignored 35 yrs of warnings by our best #climate scientists...ignored the early advice of the world's best #pandemic scientists.//t.co/4Wl1svCtW5"
"138","9 Key Facts the World's Largest Environmental Groups are Hiding about Climate Change!//t.co/P0x7fZil1Z via @JobOneForHuman1 | #GlobalWarming #Climageddon"
"139","Is China a #Climate Solutions Leader or a Climate and Oceans Disruption Leader?//t.co/yKm5cw1K7E via @JobOneForHuman1 | #Climageddon #globalwarming"
"140","Is China a #Climate Solutions Leader or a Climate and Oceans Disruption Leader?//t.co/1dTkXm6k7r via @JobOneForHuman1 | #Climageddon #globalwarming"
