host_id,host_name,host_since,host_is_superhost,host_listings_count
4022974,Mary K.,2012/10/31,f,1
4033615,Karen,2012/11/01,f,1
4035868,Carolyn,2012/11/01,t,2
4070275,Daniel,2012/11/05,f,1
1132515,Rick,2011/09/09,f,0
2438977,David,2012/05/22,f,1
4094351,Patrick,2012/11/08,f,1
1101753,John & Tina,2011/09/02,t,1
974631,Austin,2011/08/15,f,18
4143759,Katy & Rick,2012/11/13,t,1
4162906,"Edward ""Jack""",2012/11/15,f,1
4218754,Jana,2012/11/22,t,2
2762526,Moya,2012/06/27,f,2
4307740,Nancy,2012/12/02,t,1
1925259,Carmen,2012/03/14,f,1
889533,Sandra,2011/07/29,f,1
4421865,Tina,2012/12/16,t,1
3354999,Mollie,2012/08/23,t,1
4506424,Abby,2012/12/27,f,1
245617,Peter,2010/09/26,f,1
4555015,Francis,2013/01/02,f,1
4160337,Amenity,2012/11/15,f,1
582827,Troy,2011/05/12,t,2
4681431,Susan,2013/01/13,f,1
4704158,Matt & Ali,2013/01/14,t,2
4725234,Roman,2013/01/16,t,2
3757314,Kathy,2012/10/04,f,1
4740421,Dan & Erin,2013/01/17,t,1
4753546,Paprika,2013/01/18,t,4
3701946,Kristin,2012/09/28,f,1
4808690,Leigh,2013/01/22,f,1
1772568,David,2012/02/19,f,1
1163788,Olivia,2011/09/15,t,6
4868171,Bill,2013/01/27,f,1
4882441,Valentina,2013/01/28,f,4
4886183,Salvador,2013/01/28,f,1
4893298,Mary,2013/01/29,t,4
4912454,Ishrat,2013/01/30,t,2
1862183,Kindal,2012/03/05,f,1
1752578,Kerstin,2012/02/14,f,0
4918228,Kevin,2013/01/31,t,1
4929310,Ryan,2013/02/01,f,36
4094761,Laura,2012/11/08,t,2
4932225,Matt,2013/02/01,f,1
4933902,Lauren & Andrew,2013/02/01,f,1
4964070,Michael,2013/02/04,f,1
4981882,Jim,2013/02/05,f,1
3175045,Ryan,2012/08/06,f,1
412711,Niles,2011/02/27,t,1
4980115,Matthew,2013/02/05,f,1
5004628,Lauren,2013/02/07,f,1
3758683,Ken,2012/10/04,f,3
5008436,Susie,2013/02/07,f,1
3084105,Terry,2012/07/28,f,1
1335409,Eric,2011/10/25,f,2
5037631,Mark & Monica,2013/02/10,t,1
5041228,Andrea,2013/02/10,f,1
2121044,J,2012/04/11,f,2
5059228,Haley And Raul,2013/02/12,f,1
230553,Sevylla,2010/09/10,t,2
5097393,Jonas,2013/02/15,f,1
3536176,David,2012/09/11,f,1
5099514,Puru,2013/02/15,f,1
1343838,Guadalupe,2011/10/27,t,2
5104710,Mark,2013/02/16,f,1
5105777,Angie & Kurt,2013/02/16,f,0
5122558,Scott,2013/02/17,f,1
601159,Mychal,2011/05/18,f,1
5130794,Rob,2013/02/18,f,1
5134988,Ben,2013/02/18,f,1
5144358,Paul,2013/02/19,f,1
5152543,Marcella,2013/02/19,t,1
1648173,Kristen,2012/01/24,t,1
5173278,Luis,2013/02/21,f,0
5181843,Amy,2013/02/22,t,1
5192335,Chloe,2013/02/23,t,1
5202192,Patrick And Michele,2013/02/23,f,0
5206723,Jeannette,2013/02/24,f,1
3828170,Donna,2012/10/10,f,2
2852262,Kate,2012/07/06,t,2
5215945,John And Melissa,2013/02/24,t,1
4717260,Tony,2013/01/15,t,2
4845892,Willard,2013/01/25,f,1
3389824,Raquel + Jacob,2012/08/27,f,3
5257304,Lauren,2013/02/27,f,2
5272754,Clay,2013/03/01,f,1
5288195,Jim,2013/03/02,f,1
5289039,Christina,2013/03/02,t,1
169512,Charlotte,2010/07/17,t,6
5319009,Allix,2013/03/04,f,1
5323769,Kendel,2013/03/04,f,1
266202,Arif,2010/10/19,t,1
5350399,Chris,2013/03/06,f,3
5352009,Daniel,2013/03/06,f,1
5356163,Benjamin,2013/03/06,f,2
2851885,Bart,2012/07/06,t,1
5367671,Jeremy,2013/03/07,t,3
4255546,Matt,2012/11/26,f,1
5363972,Angela,2013/03/07,f,1
1726785,Sid,2012/02/09,t,6
5411754,Jason,2013/03/11,f,1
4666240,Douglas,2013/01/11,f,2
5473957,Susanna,2013/03/15,t,1
6386445,Nan,2013/05/14,t,3
5467931,Jennifer,2013/03/14,t,1
5509090,Ben,2013/03/18,f,1
5575763,Yvonne & Cameron,2013/03/22,t,1
5620519,Steve,2013/03/25,t,1
5641001,Blair,2013/03/26,t,1
5694515,Suzanne,2013/03/30,f,1
5742468,Marisse,2013/04/02,f,1
422589,John,2011/03/04,f,1
1822421,Sandra,2012/02/27,f,1
6090278,Tim,2013/04/25,t,2
5920345,Anique,2013/04/14,t,1
6182474,Ashley,2013/05/01,t,2
6229799,Yoav,2013/05/04,f,1
6109200,Adeola,2013/04/26,f,1
802614,Amit,2011/07/10,t,4
5766765,Holly,2013/04/04,f,2
6469089,Jeff,2013/05/19,t,1
6458257,Marty,2013/05/18,f,1
6590859,Susan,2013/05/26,t,1
997756,Christina,2011/08/20,f,1
5446383,Chris,2013/03/13,t,1
427519,Anne,2011/03/07,t,1
5722891,Top Trip Rentals,2013/04/01,f,1
4035731,Matt & Amy,2012/11/01,t,3
1742462,Jacob,2012/02/12,f,1
7090261,Brendan,2013/06/24,f,1
739362,Barbara,2011/06/24,t,6
7281438,Lawrence,2013/07/04,t,2
7284062,Anita,2013/07/04,t,2
1739801,Terry,2012/02/12,f,12
7323557,Katie,2013/07/06,t,1
6333125,Cheasty,2013/05/11,f,1
7547072,Kathleen,2013/07/17,f,1
7737534,Mario,2013/07/26,f,0
6932708,Blake,2013/06/15,f,0
7764443,Joyce,2013/07/27,t,4
740347,Chris,2011/06/24,t,2
7857883,Steve,2013/07/31,t,1
8014187,Shannon,2013/08/07,t,2
8026447,Peter,2013/08/08,t,1
8054740,Christopher,2013/08/09,t,1
8187341,Natalya,2013/08/15,t,3
8221829,Dan,2013/08/17,f,1
5648290,Mike,2013/03/27,f,2
8368983,Albert & Meg,2013/08/24,f,1
8223285,Ronald,2013/08/17,f,1
8384474,Erin,2013/08/25,t,1
8395205,Andrew,2013/08/25,f,1
8402421,Andy,2013/08/26,t,7
6591320,Mary-Margaret,2013/05/26,f,1
3264154,Sharon,2012/08/15,t,1
8289500,Desirae,2013/08/20,f,1
8495321,Rebecca,2013/08/28,t,1
1409844,Lakshmi,2011/11/15,f,1
5138696,Jodi,2013/02/18,t,1
8510754,Heart,2013/08/29,t,4
172182,Brian & Leah,2010/07/19,t,6
5453757,Fran,2013/03/13,f,1
8584307,Nellie,2013/09/02,f,1
8612372,Martha,2013/09/03,f,1
8463840,Lawrence,2013/08/27,t,1
2672219,Stephen&Ramona,2012/06/18,f,1
1514891,Nell,2011/12/18,t,1
8708918,Jamie And Aja,2013/09/08,t,1
8716539,Eric & Erin,2013/09/08,t,1
6659104,Tiffany,2013/05/30,f,5
8771676,Julia (And Johnny),2013/09/11,f,1
5190127,Anais,2013/02/22,f,1
8816698,Michelle,2013/09/13,t,2
8833810,Aaron,2013/09/14,f,1
2492382,Samuel,2012/05/29,f,1
6253447,Karen,2013/05/06,t,2
8874960,Tatiana,2013/09/16,f,1
18253226,Stay Local Austin,2014/07/17,t,23
8898766,Wendy,2013/09/17,f,1
8967238,Heidi,2013/09/21,t,1
8973365,Inger,2013/09/21,t,1
1232812,Brian And Meredith,2011/10/01,f,1
8428581,Brunson,2013/08/26,t,1
175669,Rachel,2010/07/21,f,2
9005567,Lori,2013/09/23,f,3
2293378,Kc,2012/05/04,t,5
9031314,Dylan,2013/09/24,f,1
9053200,Linda,2013/09/25,f,1
4150951,Tony,2012/11/14,f,2
9035884,Elissa,2013/09/24,f,1
9093395,Cody,2013/09/27,f,2
4435121,Forrest,2012/12/18,f,1
8142606,Martha Elena,2013/08/13,f,2
9123693,Joy,2013/09/29,f,2
5110394,Erik & Kara,2013/02/16,f,1
1628864,Michael & Luz,2012/01/19,t,1
8219026,Benjamin,2013/08/17,f,3
7612091,Harvey,2013/07/20,f,1
8752986,Alex,2013/09/10,f,1
7637276,Steven,2013/07/22,t,2
9419950,Wade,2013/10/14,t,1
8634478,Jennifer,2013/09/04,f,1
9454445,Jordana,2013/10/16,f,1
9463145,Joi,2013/10/16,t,2
9506147,Justin,2013/10/18,f,1
1827958,Bryce And Rachael,2012/02/28,t,3
1714345,Ginger,2012/02/07,t,2
9555506,Paige,2013/10/21,f,1
8650410,Bill,2013/09/05,f,1
574394,Theresa,2011/05/10,t,2
9576720,Tracen,2013/10/22,t,3
9601914,The Yerkovich,2013/10/23,f,2
5502116,Trey,2013/03/17,f,1
9666649,Robert And Inge,2013/10/27,f,1
9678761,Austen,2013/10/28,f,1
9075763,Miles,2013/09/26,f,1
3752014,Kirsten,2012/10/03,f,4
9704934,Shawna,2013/10/29,t,1
9728400,Justin,2013/10/30,f,1
3715137,Melissa,2012/09/30,t,1
61292,Jeany And Mose,2009/12/08,t,2
1822593,Alexa,2012/02/27,t,0
9797006,Russell,2013/11/03,f,1
8597490,Sharon,2013/09/03,t,1
3730648,Benjamin,2012/10/01,t,2
9586902,Mathew,2013/10/23,f,1
9988390,G Scott,2013/11/13,f,1
1421618,Diana,2011/11/18,f,4
5279293,Frank And Katie,2013/03/01,t,2
4018268,Bradley,2012/10/30,t,2
10016864,Robert,2013/11/14,f,1
5428198,Alan,2013/03/12,f,1
10098752,Todd & Laura,2013/11/18,t,1
890453,Vyjayanthi,2011/07/29,f,1
10293287,Ann,2013/11/27,t,6
408793,Jason,2011/02/24,f,16
10381875,Patricia,2013/12/02,f,1
10487205,Kirk And Linley,2013/12/07,f,1
10500741,Molly,2013/12/08,f,1
10503694,Christina,2013/12/08,t,1
1518835,Russ,2011/12/19,f,2
4952321,Jami,2013/02/03,f,1
10617942,Mike,2013/12/14,f,2
10808015,Barbara,2013/12/25,f,1
3538703,Mike,2012/09/11,t,10
1609994,Brennen & Sierra,2012/01/15,f,1
10960502,Scarlett,2014/01/02,f,1
1681866,Allyson,2012/02/01,f,2
413801,Alex,2011/02/28,t,1
5106595,Mary,2013/02/16,f,1
750379,Teresa & Rino,2011/06/27,f,1
247600,Danielle,2010/09/28,f,2
11152728,Jon,2014/01/09,f,1
11167488,Timothy,2014/01/10,f,0
11215879,Barton,2014/01/11,t,1
11242043,Jennifer,2014/01/12,f,1
11263914,David,2014/01/13,t,3
11278384,Colin,2014/01/13,t,2
1981922,Silvia,2012/03/21,f,2
11366658,Atif,2014/01/16,f,1
11367937,Steph,2014/01/16,f,1
11387520,John,2014/01/17,f,1
11421571,Curtis,2014/01/18,f,1
11461646,Loren,2014/01/19,f,1
627048,Lisa,2011/05/25,f,1
11512921,Hollis,2014/01/21,f,1
11514096,Cynthia & Bobby,2014/01/21,t,1
8669707,Melissa,2013/09/06,t,1
7473565,Arden,2013/07/14,f,1
8514132,Lauren,2013/08/29,f,1
1507234,Kristine,2011/12/15,t,1
11602302,Michelle,2014/01/24,f,1
11606005,Michael,2014/01/24,t,2
9060478,Christina,2013/09/25,f,1
11655380,Jean,2014/01/26,t,1
11710972,David,2014/01/27,t,2
387916,Caitlin,2011/02/11,f,2
2655102,Rockie,2012/06/16,f,1
8306988,Zach,2013/08/21,f,1
11795334,Holly,2014/01/30,f,1
1642301,Charles And Sarah,2012/01/23,f,1
11802966,Tobin,2014/01/30,f,1
10793384,Seth,2013/12/24,f,1
11838303,Carol,2014/02/01,f,1
11863622,Jon + Laura,2014/02/02,f,1
11878285,Nick,2014/02/02,f,1
11881904,Ben,2014/02/02,f,1
7656817,Derrick,2013/07/22,f,1
11915921,Whitney,2014/02/03,f,1
11932614,Mari And Danny,2014/02/04,t,1
11936920,Justin,2014/02/04,f,1
11951537,Jill,2014/02/04,f,1
11975520,Ivy,2014/02/05,f,1
11979558,Beth,2014/02/05,f,1
11981626,Amy,2014/02/05,f,1
11997337,Jon,2014/02/06,t,1
11941499,Chudala,2014/02/04,f,2
12026312,Cotton,2014/02/07,f,1
1093564,Travis,2011/08/31,f,1
9196522,Jaquelyn,2013/10/02,f,1
12033240,Valentina,2014/02/07,f,1
12036969,Linda,2014/02/07,f,1
574218,Matthew,2011/05/10,t,0
12052171,Ellen,2014/02/08,f,2
12060497,Allison,2014/02/08,f,1
12063965,Michael,2014/02/08,f,1
860438,Charlotte,2011/07/24,f,1
3197761,Sebastian,2012/08/08,f,1
11980126,David,2014/02/05,f,1
12100711,Jason,2014/02/10,t,1
12127926,Henry,2014/02/10,f,1
11904726,Sarah,2014/02/03,f,4
1821807,Mike And Crystal,2012/02/27,f,1
12145106,Elizabeth,2014/02/11,t,1
768835,Wendy,2011/07/02,f,1
1878090,Anna,2012/03/07,f,1
12163791,Ben,2014/02/11,f,0
12165478,Roberto,2014/02/11,f,1
5005633,James,2013/02/07,f,1
1972732,Katherine,2012/03/20,f,0
12179673,JoAnn,2014/02/12,f,1
12180722,Gabrielle,2014/02/12,f,1
12182520,Olivia,2014/02/12,f,1
10172735,Ryan,2013/11/21,f,1
8354530,Pat,2013/08/23,f,1
12191357,Kieu,2014/02/12,f,1
1674764,Carol,2012/01/30,f,1
12206063,Hillarey,2014/02/13,f,1
12212172,Nicholas,2014/02/13,t,1
10895151,Parker,2013/12/29,f,1
1991877,Lemuel,2012/03/22,f,1
12234266,Aly,2014/02/14,f,1
5196648,Anthony & Hayley,2013/02/23,t,2
10678098,Brian,2013/12/17,f,1
12302442,Steve,2014/02/16,f,3
12303203,Regina & Family,2014/02/16,t,0
4250925,Reyna,2012/11/26,t,1
12319343,Rouzheen,2014/02/17,f,1
6216629,Carly,2013/05/03,f,1
3848423,Cory,2012/10/12,f,1
12356977,Karen,2014/02/18,t,3
7335335,Lorna,2013/07/07,t,2
11897676,Gale (Adriana),2014/02/03,t,3
12392398,Adriana,2014/02/19,f,1
12359889,Morgan,2014/02/18,f,1
12404478,Erika,2014/02/19,f,1
12208836,Patience,2014/02/13,f,1
12432655,Nicole,2014/02/20,t,1
10367253,Scott,2013/12/01,f,1
3273010,Anna,2012/08/15,f,1
12478149,Patrick,2014/02/22,f,1
12486058,Yvonne,2014/02/22,t,1
5216713,Krishnan,2013/02/25,f,1
243565,Dorothy And Mac,2010/09/23,t,2
12519642,Mike,2014/02/23,f,1
12534992,Chance,2014/02/24,f,1
12546820,Morgan,2014/02/24,f,1
12549104,Brandi,2014/02/24,f,1
12553403,Charlie,2014/02/24,f,1
1859696,Elva,2012/03/05,f,2
12574160,Nick,2014/02/25,f,1
6364170,Adriana,2013/05/13,f,2
5836852,Travis,2013/04/08,f,2
12584341,Jason,2014/02/25,f,1
12586038,Avery,2014/02/25,f,1
4285129,Kirsten,2012/11/29,f,1
12611274,Greg,2014/02/26,f,2
12435810,Auburn,2014/02/21,f,1
12616608,Stephanie,2014/02/26,f,1
12618573,Bevyn,2014/02/26,f,1
12655488,Jessica,2014/02/27,f,2
12657065,Christopher,2014/02/28,f,1
12668275,Sarah,2014/02/28,f,1
10016722,Michael,2013/11/14,t,0
921412,Lindsey,2011/08/04,f,1
12575764,Alyssa,2014/02/25,f,1
12703001,Karen,2014/03/01,f,1
12392861,Erin,2014/02/19,t,1
12584768,Blake,2014/02/25,f,2
965847,Stacy,2011/08/13,f,1
12736010,Steven,2014/03/02,f,1
5242228,Steve & Monica,2013/02/26,t,1
12761140,Brittany,2014/03/03,f,5
3655679,Nicole,2012/09/23,f,1
12778060,Adam,2014/03/03,f,1
12790145,Sean,2014/03/04,f,1
12790986,Jake,2014/03/04,f,1
12223312,Peter,2014/02/13,f,1
12801923,Will,2014/03/04,f,1
12806524,Paul,2014/03/04,t,2
12808722,Jw,2014/03/04,f,1
12122568,Brian,2014/02/10,f,1
12846473,Veronica,2014/03/05,f,1
12862327,Megan,2014/03/06,f,1
12874023,Chris,2014/03/06,f,1
2961708,Joe,2012/07/17,f,1
7025084,Trevor,2013/06/20,f,1
9599503,Billy,2013/10/23,t,1
5839290,Ron,2013/04/09,f,1
12908793,Alan,2014/03/07,f,1
12923614,Laura,2014/03/08,f,1
5091069,Rachel And Drew,2013/02/14,f,1
12931899,Molly,2014/03/08,f,1
12951616,Kit,2014/03/09,f,1
13035711,Stephanie,2014/03/11,f,1
13040118,Edward,2014/03/11,t,1
13061865,Jacy,2014/03/12,f,1
1844303,Genny,2012/03/02,f,2
13088390,Phu,2014/03/13,f,1
1834167,Grace Marie,2012/02/29,f,3
13281188,Benjamin,2014/03/18,f,1
13569418,Nathan,2014/03/26,t,1
10010707,Francene,2013/11/14,t,1
13208189,Manuel,2014/03/17,f,1
13645041,Ashley,2014/03/28,f,1
13710115,Will,2014/03/30,f,1
579290,Jay,2011/05/11,f,21
13898735,Vanessa,2014/04/04,t,1
13934159,Katie,2014/04/05,f,1
14001503,Ramona,2014/04/07,f,1
376422,Derek,2011/02/03,t,2
14187294,Jay,2014/04/12,f,1
7440744,Jenny,2013/07/12,t,3
14747714,Carrye,2014/04/26,t,1
3394736,Eric,2012/08/27,f,1
6924506,Olivia,2013/06/15,f,1
15119022,Katherine,2014/05/05,f,1
7041918,Mitch,2013/06/21,t,1
15194905,Michelle,2014/05/06,f,1
15219795,Cynthia,2014/05/07,t,8
15242429,Jen,2014/05/07,f,1
7567467,Chalu,2013/07/18,t,4
1634035,Mike,2012/01/21,t,1
386263,Vineet,2011/02/10,f,5
15422517,Jennifer,2014/05/12,f,1
14613487,Susana,2014/04/22,f,1
12039578,Micki,2014/02/07,f,2
4870151,Rachel,2013/01/27,t,3
15782486,Lodgewell,2014/05/20,f,42
3947597,Chad,2012/10/22,f,1
2719428,Kaleigh,2012/06/23,f,2
412855,Robin,2011/02/27,t,1
16047277,Mireille,2014/05/27,f,20
16243944,Lisa,2014/06/01,f,2
16350192,Kimberly,2014/06/03,t,1
